parent_image,child_image,pair_type,kin
F0001/MID1/P00004_face1.jpg,F0001/MID3/P00006_face0.jpg,fs,1
F0001/MID1/P00003_face0.jpg,F0765/MID4/P08060_face3.jpg,fs,0
F0001/MID1/P00001_face0.jpg,F0001/MID4/P00008_face3.jpg,fs,1
F0001/MID1/P00007_face1.jpg,F0788/MID2/P08317_face1.jpg,fs,0
F0004/MID1/P00049_face0.jpg,F0004/MID2/P00029_face0.jpg,fs,1
F0004/MID1/P00051_face1.jpg,F0010/MID3/P00106_face2.jpg,fs,0
F0004/MID1/P00052_face0.jpg,F0004/MID6/P00048_face3.jpg,fs,1
F0004/MID1/P00052_face0.jpg,F0715/MID6/P07498_face3.jpg,fs,0
F0009/MID5/P11731_face3.jpg,F0009/MID4/P11738_face2.jpg,fs,1
F0009/MID5/P11733_face1.jpg,F0090/MID7/P10828_face2.jpg,fs,0
F0009/MID5/P11731_face3.jpg,F0009/MID3/P11741_face1.jpg,fs,1
F0009/MID5/P11751_face0.jpg,F0456/MID4/P04817_face3.jpg,fs,0
F0009/MID5/P11733_face1.jpg,F0009/MID2/P11723_face3.jpg,fs,1
F0009/MID5/P10573_face0.jpg,F0631/MID2/P06630_face0.jpg,fs,0
F0009/MID5/P11733_face1.jpg,F0009/MID1/P11722_face1.jpg,fs,1
F0009/MID5/P11744_face4.jpg,F0197/MID3/P02114_face2.jpg,fs,0
F0009/MID5/P11735_face1.jpg,F0009/MID6/P11756_face1.jpg,fs,1
F0009/MID5/P00089_face6.jpg,F0004/MID6/P00036_face0.jpg,fs,0
F0010/MID1/P00112_face2.jpg,F0010/MID3/P00105_face0.jpg,fs,1
F0010/MID1/P00108_face2.jpg,F0984/MID5/P10371_face0.jpg,fs,0
F0011/MID1/P00114_face0.jpg,F0011/MID2/P00116_face1.jpg,fs,1
F0011/MID1/P00113_face0.jpg,F0064/MID3/P00651_face0.jpg,fs,0
F0013/MID1/P00133_face0.jpg,F0013/MID9/P00141_face3.jpg,fs,1
F0013/MID1/P00140_face4.jpg,F0937/MID2/P09878_face0.jpg,fs,0
F0013/MID1/P00134_face1.jpg,F0013/MID10/P00141_face2.jpg,fs,1
F0013/MID1/P00140_face4.jpg,F0527/MID1/P05536_face0.jpg,fs,0
F0013/MID3/P00137_face4.jpg,F0013/MID1/P00141_face0.jpg,fs,1
F0013/MID3/P00136_face1.jpg,F0639/MID3/P06711_face3.jpg,fs,0
F0013/MID3/P00136_face1.jpg,F0013/MID5/P00137_face6.jpg,fs,1
F0013/MID3/P00136_face1.jpg,F0788/MID1/P08315_face0.jpg,fs,0
F0013/MID3/P00137_face4.jpg,F0013/MID6/P00137_face0.jpg,fs,1
F0013/MID3/P00136_face1.jpg,F0771/MID3/P08142_face4.jpg,fs,0
F0013/MID3/P00137_face4.jpg,F0013/MID7/P00137_face2.jpg,fs,1
F0013/MID3/P00136_face1.jpg,F0774/MID1/P08178_face1.jpg,fs,0
F0016/MID1/P00162_face1.jpg,F0016/MID5/P09379_face0.jpg,fs,1
F0016/MID1/P00162_face1.jpg,F0578/MID5/P10602_face0.jpg,fs,0
F0016/MID2/P00162_face0.jpg,F0016/MID3/P00164_face0.jpg,fs,1
F0016/MID2/P00164_face1.jpg,F0624/MID2/P06556_face1.jpg,fs,0
F0024/MID3/P00241_face1.jpg,F0024/MID5/P00245_face0.jpg,fs,1
F0024/MID3/P00241_face1.jpg,F0173/MID5/P01853_face4.jpg,fs,0
F0029/MID1/P00294_face6.jpg,F0029/MID4/P00294_face3.jpg,fs,1
F0029/MID1/P00294_face6.jpg,F0476/MID5/P05008_face0.jpg,fs,0
F0031/MID2/P00313_face3.jpg,F0031/MID5/P00314_face1.jpg,fs,1
F0031/MID2/P00320_face0.jpg,F0080/MID8/P00826_face3.jpg,fs,0
F0032/MID4/P00336_face2.jpg,F0032/MID2/P00332_face2.jpg,fs,1
F0032/MID4/P00337_face0.jpg,F0961/MID8/P10126_face2.jpg,fs,0
F0033/MID1/P00346_face0.jpg,F0033/MID4/P00344_face1.jpg,fs,1
F0033/MID1/P00346_face0.jpg,F0097/MID1/P01000_face1.jpg,fs,0
